additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,carbon_footprint_100g,nutrition_score_fr_100g,nutrition_score_uk_100g
1,0,0,519,4.2,2.5,18,17,3.5,0.1016,0.04,267.4,4,4
0,0,0,423,3,1.8,15,15,3.5,0.1016,0.04,204.5,3,3
0,0,0,2160,53,9,7,0.8,3.5,1.4,0.551181102362205,381.6,18,18
0,0,0,2477,46,27,31,27,8,0.0254,0.01,2509,17,17
1,0,0,2238,33,16,50,45,6,0.0254,0.01,1311,25,25
1,0,0,2230,32,16,52,51,8,0.1524,0.06,1145,23,23
4,1,0,2008,24,15,61,57,3,0,0,1206,20,20
1,0,0,2247,31,19,57,54,6,0.0508,0.02,1158,26,26
2,0,0,2406,39,13,46,43,8,0.1524,0.06,1001,21,21
0,0,0,2464,47,28,26,21,9,0.0254,0.01,2842,16,16
1,0,0,1030,1.5,0.5,43,3.5,11,1.4732,0.58,116,-1,-1
0,0,0,92,0.1,0.2,3.8,1e-04,1.2,0,0,0,-6,-6
0,0,0,3761,100,14,0,0,0,0,0,0,11,20
0,0,0,3761,100,14,0,0,0,0,0,0,11,20
0,0,0,899,100,14,0,0,0,0,0,0,3,12
0,0,0,3761,100,14,0,0,0,0,0,0,11,20
0,0,0,3761,100,14,0,0,0,0,0,0,11,20
0,0,0,899,100,14,0,0,0,0,0,0,3,12
0,0,0,899,100,14,0,0,0,0,0,0,3,12
0,0,0,899,100,14,0,0,0,0,0,0,3,12
